Name,Type,Dues/Membership Duration,Registration Status,Facet 1,Facet 2,Facet 3
Guest House,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Habitat for Humanity ReStore Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
HANA Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Hanul Family Alliance,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Harold E. Eisenberg Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Hines Fisher House,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Housing Forward,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Howard Area Community Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Illinois Action for Children,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Illinois PIRG,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
iMentor,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
iMentr,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Indo-American Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Inner City Impact,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Japanese American Service Committee - JASC,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Jesse Brown Veterans Affairs Medical Center/Voluntary Service,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Junior Achievement of Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Just Roots Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
KAN-WIN,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
KEEN Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Kids In Danger,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
L'Arche Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
La Casa Norte,Community Service Agency,1 Year,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Ladder Up,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Lawrence Hall,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Lifting Hearts with the Arts,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Lincoln Park Community Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Literacy Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Literacy Volunteers of Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Little Brothers-Friends of the Elderly,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Logic Mentoring,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Lymphoma Research Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
M.E.A.N. Girls Empowerment,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Make-A-Wish Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Marillac St. Vincent Family Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Maxwell Street Community Garden,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
McCormick YMCA,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Mercy Home for Boys and Girls,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Metro Achievement Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Mujeres Latinas en Accion,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Multiplying Good,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Multiplying Good,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Namaste Charter School,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
National Kidney Foundation of Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
NeighborSpace,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Normal Moments Inc,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
North Branch Restoration Project,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Northern Illinois Justice for Our Neighbors (NIJFON),Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Northwest Food Partners Network,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Norwegian American Hospital Mobile Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Nourishing Hope,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
NPH USA,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Nuestros PequeÔêÜ┬▒os Hermanos (NPH) USA,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Oak Park Our Whole Lives NPF,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
"Office of Planning, Sustainability, and Project Management",Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Open Arms Ministry,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Orchard Village,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
PAWS Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Peace Corps,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Peggy Notebaert Nature Museum,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Perspective Charter Schools: Joslin Campus,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Planned Parenthood of Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
PLATE45 Institute,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
PLOWS Council on Aging,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
PODER,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Porchlight Counseling Services at Center for Law and Social Work,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Project C.U.R.E,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Quinn Center of St. Eulalia,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Refined and Refreshed Inc.,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
RefugeeOne,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Rescuing Leftover Cuisine,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Resilience,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Respiratory Health Association,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Revive Center for Housing and Healing,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Ronald McDonald House Charities of Chicagoland & Northwest Indiana,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Safe Families PLUS,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
SAGA Innovations,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Sertoma Centre,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Serve Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Share Our Spare,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Sinai Community Institute,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Sinai Health System,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
SisterHouse,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
SitStayRead,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Special Olympics Illinois,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
St John Berchmans,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
St Mary of Celle Family Strengthening Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
St. Leonard's Ministries,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Sue Duncan Children's Center,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Suncrest Hospice,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
The Boulevard of Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
The Noble Academy,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
The Orchard Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
The Orchard Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
The Richard H. Driehaus Museum,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
The Salvation Army,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Top Box Foods,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Transitions Hospice,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
True Believers Community Connections,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Turning the Page,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Tutoring Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
UCAN,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
UCAN,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
UIC Neighborhood Centers,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
UIC/UI Health Volunteer Services,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
United Saints Recovery Project,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Unity Hospice and Palliative Care,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
University of Illinois Extension 4-H,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Urban Growers Collective,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
VETS TO VETS UNITED INC,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Who is Hussain Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Wonder Works Children's Museum,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Wonderfully Made Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Wood Family Foundation,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
World Computer Exchange(WCE),Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
World Vision,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
YMCA of Metro Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Young Life,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Young Masterbuilders in Motion,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Youth For a Better Future,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
Youth Guidance,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
YWCA Metropolitan Chicago,Community Service Agency,Lifetime membership,Registered,Community Empowerment,Health and Wellness Advocacy,Youth Development and Education
National Society of Leadership and Success,Leadership Organizations,Lifetime membership,Not Registered,Leadership Skills Development,Career Advancement,Personal Growth
American Bar Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Asian Pacific American Law Student Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Black Law Students Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Celtic Law Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Chicago Bar Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Corporate Law Society,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Environmental and Energy Law Society,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
First Generation Law Student Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Health Law Society,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Illinois State Bar Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Intellectual Property Law Society,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
MIDDLE EASTERN LAW STUDENT ASSOCIATION,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
National Security Law Society,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Neurodiverse Law Student Association,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
OUTLaw,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Phi Alpha Delta Law Fraternity,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Public Interest Law Council,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Restorative Justice Initiative,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Student Animal Legal Defense Fund,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Student Bar Association - Cook Count Bar Association Liaison,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
UIC Law Office of Student Life,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
United Immigration Defense Organization of Students,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Video Game Law Society,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Women's Law Caucus,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Writing Resource Center's,UIC School of Law School,Lifetime membership,Not Registered,Legal Education and Scholarship,Professional Development,Advocacy and Policy Engagement
Alternative Spring Break,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Army ROTC,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Campus Housing: La Casa,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Campus Housing: LEAD-ASIA,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Campus Housing: Pathways to Black Male Achievement,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Campus Housing: SISTERS,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Campus Housing: Spectrum,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Counseling Center- United Support Network,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Graduate Student Council,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Pyro Points,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Quiz Bowl,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Sparkathon,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
St. John Paul II Newman Center,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Student Activities Board,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Study Abroad Ambassadors,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
UIC Radio,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
UIC Speech & Debate,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Undergraduate Student Government,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
University Ambassadors,University Activities,Lifetime membership,Not Registered,Leadership and Civic Engagement,Media and Communication Skills,Cultural and Social Enrichment
Nepali Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
African Graduate Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Ahlulbayt Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Asian American Students In Alliance,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Bangladeshi Students Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Bengali Students Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Black Student Coalition,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Black Student Union,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Brasa at UIC,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Caribbean Club at UIC,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Chinese Club at UIC,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Collegiate 100,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Cultural Cinema Club,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Desi Engagement and Student Involvement ,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Eastern European Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Filipinos in Alliance,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Hindu Student Council,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Indian Graduate Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Indian Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Indigenous Graduate Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Iranian Student Organization,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Italian Club,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Korean American Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Korean Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Latine Coalition,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Mexican Students de Aztlán,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Middle Eastern North African Young Artist Reclamation Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Muslim Residence Life,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
PAKISTANI STUDENTS ASSOCIATION,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Soran Bushi Student Organization,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
South Asian Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Sri Lankan Student Association,Cultural Groups ,Ends at Graduation,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
The Ethiopian and Eritrean Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
The National Association of Colored Women's Clubs Inc.,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Turkish Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Union of Puerto Rican Students,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Vietnamese Student Association,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
WeDesi,Cultural Groups ,Lifetime membership,Not Registered,Cultural and International Awareness,Social Integration and Support,Educational Enrichment
Aahana,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Alpha Phi Omega,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Blood Buds,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Blood Drive at UIC,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Colleges Against Cancer,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Doctors Without Borders Student Chapter,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Global Health Student Interest Group,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Global Medical Brigades,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Hearts for the Homeless UIC,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Humanity First Student Organization,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Impactful Relief,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
Kids are Scientists Too,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
"Medicine, Education and Development for Low Income Families Everywhere at UIC",Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
MEDLIFE,Community Service Student Organizations,Lifetime membership,Not Registered,Humanitarian Relief and Support,Community Engagement and Service,Advocacy and Social Justice
